dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.999981,180.000000,0.007865,0.786487,39.324372,1966.218598,0.000002
0.020000,18.999987,180.000000,0.007871,0.000308,-39.308975,-3931.667370,0.000001
0.020000,18.999999,180.000000,0.007883,0.000615,0.015355,1966.216527,0.000000
0.020000,19.091640,180.000000,0.099524,4.582013,229.069922,11452.728331,6.283184
0.020000,19.217502,180.000000,0.225386,6.293123,85.555474,-7175.722377,6.283182
0.020000,19.374830,179.999999,0.382714,7.866397,78.663726,-344.587398,6.283179
0.020000,19.563623,179.999997,0.571507,9.439668,78.663519,-0.010355,6.283176
0.020000,19.783882,179.999995,0.791766,11.012933,78.663271,-0.012426,6.283173
0.020000,20.035606,179.999991,1.043490,12.586193,78.662981,-0.014497,6.283169
0.020000,20.318795,179.999986,1.326679,14.159446,78.662649,-0.016568,6.283164
0.020000,20.633449,179.999979,1.641333,15.732691,78.662276,-0.018639,6.283159
0.020000,20.979567,179.999969,1.987451,17.305929,78.661862,-0.020710,6.283154
0.020000,21.357150,179.999956,2.365034,18.879157,78.661407,-0.022782,6.283148
0.020000,21.766198,179.999939,2.774082,20.452375,78.660910,-0.024852,6.283142
0.020000,22.206710,179.999919,3.214593,22.025582,78.660371,-0.026924,6.283136
0.020000,22.678685,179.999894,3.686569,23.598778,78.659791,-0.028994,6.283129
0.020000,23.182124,179.999863,4.190008,25.171962,78.659170,-0.031066,6.283121
0.020000,23.717027,179.999827,4.724911,26.745132,78.658507,-0.033136,6.283114
0.020000,24.283393,179.999784,5.291277,28.318288,78.657803,-0.035208,6.283106
0.020000,24.881221,179.999734,5.889105,29.891429,78.657057,-0.037278,6.283098
0.020000,25.510512,179.999677,6.518396,31.464554,78.656270,-0.039350,6.283089
0.020000,26.171266,179.999610,7.179150,33.037663,78.655442,-0.041421,6.283081
0.020000,26.863481,179.999535,7.871365,34.610755,78.654572,-0.043491,6.283072
0.020000,27.587157,179.999449,8.595041,36.183828,78.653661,-0.045563,6.283063
0.020000,28.342295,179.999353,9.350179,37.756882,78.652708,-0.047634,6.283054
0.020000,29.128893,179.999246,10.136777,39.329916,78.651714,-0.049706,6.283044
0.020000,29.946952,179.999127,10.954836,40.902930,78.650679,-0.051775,6.283035
0.020000,30.796470,179.998995,11.804354,42.475922,78.649602,-0.053847,6.283026
0.020000,31.677448,179.998850,12.685332,44.048892,78.648483,-0.055918,6.283016
0.020000,32.589885,179.998692,13.597769,45.621838,78.647324,-0.057989,6.283007
0.020000,33.533780,179.998519,14.541664,47.194761,78.646122,-0.060060,6.282998
0.020000,34.509133,179.998332,15.517017,48.767658,78.644880,-0.062131,6.282989
0.020000,35.515944,179.998130,16.523828,50.340530,78.643596,-0.064202,6.282980
0.020000,36.554211,179.997912,17.562095,51.913375,78.642270,-0.066273,6.282971
0.020000,37.623935,179.997678,18.631819,53.486194,78.640903,-0.068345,6.282963
0.020000,38.725115,179.997429,19.732999,55.058983,78.639495,-0.070415,6.282955
0.020000,39.857750,179.997163,20.865634,56.631744,78.638045,-0.072487,6.282947
0.020000,41.021839,179.996882,22.029723,58.204475,78.636554,-0.074557,6.282940
0.020000,42.217383,179.996584,23.225267,59.777176,78.635022,-0.076629,6.282933
0.020000,43.444379,179.996270,24.452264,61.349845,78.633448,-0.078700,6.282926
0.020000,44.702829,179.995940,25.710713,62.922481,78.631832,-0.080770,6.282921
0.020000,45.992731,179.995595,27.000615,64.495085,78.630175,-0.082842,6.282915
0.020000,47.314084,179.995236,28.321968,66.067654,78.628477,-0.084913,6.282911
0.020000,48.666887,179.994862,29.674772,67.640189,78.626737,-0.086983,6.282907
0.020000,50.051141,179.994475,31.059026,69.212688,78.624956,-0.089055,6.282904
0.020000,51.466844,179.994075,32.474729,70.785151,78.623134,-0.091126,6.282902
0.020000,52.913996,179.993664,33.921880,72.357576,78.621270,-0.093197,6.282901
0.020000,54.392595,179.993243,35.400479,73.929964,78.619365,-0.095268,6.282901
0.020000,55.902641,179.992813,36.910526,75.502312,78.617418,-0.097339,6.282901
0.020000,57.444133,179.992377,38.452018,77.074621,78.615430,-0.099410,6.282903
0.020000,59.017071,179.991935,40.024956,78.646889,78.613400,-0.101481,6.282906
0.020000,60.621453,179.991491,41.629338,80.219115,78.611329,-0.103552,6.282911
0.020000,62.257279,179.991046,43.265164,81.791300,78.609216,-0.105623,6.282916
0.020000,63.924548,179.990603,44.932433,83.363441,78.607063,-0.107694,6.282923
0.020000,65.623259,179.990166,46.631144,84.935538,78.604867,-0.109766,6.282932
0.020000,67.353410,179.989736,48.361296,86.507591,78.602631,-0.111836,6.282942
0.020000,69.115002,179.989317,50.122888,88.079598,78.600352,-0.113908,6.282954
0.020000,70.900169,179.988915,51.908055,89.258352,58.937701,-983.132555,6.282967
0.020000,72.690142,179.988537,53.698027,89.498645,12.014651,-2346.152518,6.282982
0.020000,74.466152,179.988189,55.474038,88.800514,-34.906533,-2346.059185,6.282998
0.020000,76.215513,179.987876,57.223398,87.468032,-66.624123,-1585.879522,6.283015
0.020000,77.933401,179.987600,58.941287,85.894413,-78.680937,-602.840673,6.283034
0.020000,79.619818,179.987360,60.627703,84.320840,-78.678675,0.113106,6.283053
0.020000,81.274764,179.987158,62.282650,82.747310,-78.676454,0.111035,6.283073
0.020000,82.898241,179.986994,63.906126,81.173825,-78.674275,0.108965,6.283095
0.020000,84.490248,179.986867,65.498134,79.600382,-78.672137,0.106893,6.283117
0.020000,86.050788,179.986777,67.058673,78.026981,-78.670040,0.104823,6.283139
0.020000,87.579860,179.986724,68.587746,76.453622,-78.667985,0.102751,6.283163
0.020000,89.077467,179.986708,70.085352,74.880302,-78.665972,0.100680,0.000001
0.020000,90.543607,179.986728,71.551492,73.307022,-78.663999,0.098609,0.000026
0.020000,91.978283,179.986782,72.986168,71.733781,-78.662069,0.096538,0.000051
0.020000,93.381494,179.986871,74.389380,70.160577,-78.660179,0.094467,0.000076
0.020000,94.753242,179.986992,75.761128,68.587411,-78.658331,0.092397,0.000101
0.020000,96.093528,179.987145,77.101413,67.014280,-78.656525,0.090325,0.000127
0.020000,97.402352,179.987329,78.410237,65.441185,-78.654760,0.088254,0.000153
0.020000,98.679714,179.987541,79.687600,63.868124,-78.653036,0.086184,0.000179
0.020000,99.925616,179.987781,80.933501,62.295097,-78.651354,0.084111,0.000206
0.020000,101.140058,179.988047,82.147944,60.722103,-78.649713,0.082042,0.000232
0.020000,102.323041,179.988336,83.330926,59.149141,-78.648114,0.079970,0.000258
0.020000,103.474565,179.988649,84.482451,57.576210,-78.646556,0.077899,0.000284
0.020000,104.594631,179.988982,85.602517,56.003309,-78.645039,0.075828,0.000310
0.020000,105.683240,179.989334,86.691125,54.430437,-78.643564,0.073756,0.000336
0.020000,106.740392,179.989703,87.748277,52.857595,-78.642130,0.071687,0.000362
0.020000,107.766087,179.990087,88.773973,51.284780,-78.640738,0.069614,0.000387
0.020000,108.760327,179.990485,89.768213,49.711992,-78.639387,0.067545,0.000413
0.020000,109.723111,179.990894,90.730997,48.139231,-78.638078,0.065470,0.000437
0.020000,110.654441,179.991312,91.662327,46.566495,-78.636810,0.063403,0.000462
0.020000,111.554317,179.991738,92.562203,44.993783,-78.635583,0.061328,0.000486
0.020000,112.422739,179.992170,93.430625,43.421095,-78.634398,0.059264,0.000509
0.020000,113.259707,179.992606,94.267593,41.848430,-78.633254,0.057185,0.000532
0.020000,114.065223,179.993043,95.073109,40.275787,-78.632152,0.055118,0.000554
0.020000,114.839286,179.993481,95.847173,38.703165,-78.631091,0.053049,0.000576
0.020000,115.581897,179.993916,96.589784,37.130564,-78.630071,0.050973,0.000597
0.020000,116.293057,179.994348,97.300943,35.557982,-78.629093,0.048902,0.000618
0.020000,116.972765,179.994775,97.980652,33.985419,-78.628156,0.046838,0.000637
0.020000,117.621022,179.995194,98.628909,32.412873,-78.627261,0.044757,0.000657
0.020000,118.237829,179.995605,99.245716,30.840345,-78.626407,0.042695,0.000675
0.020000,118.823185,179.996005,99.831073,29.267833,-78.625595,0.040617,0.000692
0.020000,119.377092,179.996393,100.384980,27.695337,-78.624824,0.038552,0.000709
0.020000,119.899549,179.996768,100.907437,26.122855,-78.624095,0.036474,0.000725
0.020000,120.390557,179.997128,101.398444,24.550387,-78.623406,0.034405,0.000740
0.020000,120.850115,179.997471,101.858003,22.977932,-78.622760,0.032344,0.000755
0.020000,121.278225,179.997797,102.286113,21.405489,-78.622154,0.030257,0.000768
0.020000,121.674886,179.998104,102.682774,19.833057,-78.621590,0.028199,0.000780
0.020000,122.040098,179.998391,103.047987,18.260635,-78.621068,0.026115,0.000792
0.020000,122.373863,179.998657,103.381751,16.688224,-78.620587,0.024060,0.000802
0.020000,122.676179,179.998901,103.684068,15.115821,-78.620147,0.021977,0.000812
0.020000,122.947047,179.999122,103.954936,13.543426,-78.619749,0.019913,0.000821
0.020000,123.186468,179.999320,104.194357,11.971038,-78.619393,0.017829,0.000828
0.020000,123.394441,179.999493,104.402330,10.398656,-78.619077,0.015777,0.000835
0.020000,123.570967,179.999641,104.578856,8.826280,-78.618803,0.013697,0.000841
0.020000,123.716045,179.999763,104.723934,7.253909,-78.618571,0.011613,0.000846
0.020000,123.829676,179.999859,104.837565,5.681541,-78.618380,0.009567,0.000849
0.020000,123.911859,179.999929,104.919748,4.109177,-78.618230,0.007481,0.000852
0.020000,123.962595,179.999972,104.970484,2.536814,-78.618122,0.005410,0.000854
0.020000,123.984924,179.999991,104.992813,1.116430,-71.019212,379.945461,0.000854
0.020000,123.989746,179.999996,104.997635,0.241113,-43.765838,1362.668746,0.000854
0.020000,123.989746,179.999996,104.997635,0.000000,-12.055664,1585.508691,0.000854
