dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.000019,156.000000,0.007865,0.786487,39.324372,1966.218598,0.000002
0.020000,19.000013,156.000000,0.007871,0.000308,-39.308975,-3931.667370,0.000001
0.020000,19.000001,156.000000,0.007883,0.000615,0.015355,1966.216527,0.000000
0.020000,19.091604,156.000000,0.099487,4.580173,228.977874,11448.125943,6.283184
0.020000,19.217418,156.000000,0.225300,6.290676,85.525178,-7172.634788,6.283182
0.020000,19.374685,155.999999,0.382567,7.863351,78.633762,-344.570830,6.283179
0.020000,19.563405,155.999997,0.571288,9.436031,78.633969,0.010355,6.283176
0.020000,19.783579,155.999995,0.791462,11.008715,78.634217,0.012426,6.283173
0.020000,20.035208,155.999991,1.043090,12.581405,78.634507,0.014497,6.283169
0.020000,20.318290,155.999986,1.326172,14.154102,78.634839,0.016568,6.283164
0.020000,20.632826,155.999979,1.640709,15.726806,78.635211,0.018639,6.283159
0.020000,20.978816,155.999969,1.986699,17.299519,78.635626,0.020710,6.283154
0.020000,21.356261,155.999956,2.364144,18.872240,78.636081,0.022781,6.283148
0.020000,21.765160,155.999939,2.773043,20.444972,78.636578,0.024853,6.283142
0.020000,22.205515,155.999919,3.213397,22.017714,78.637117,0.026923,6.283136
0.020000,22.677324,155.999894,3.685207,23.590468,78.637697,0.028995,6.283129
0.020000,23.180589,155.999863,4.188471,25.163234,78.638318,0.031065,6.283121
0.020000,23.715309,155.999827,4.723192,26.736014,78.638981,0.033137,6.283114
0.020000,24.281485,155.999784,5.289368,28.308808,78.639685,0.035207,6.283106
0.020000,24.879117,155.999734,5.887000,29.881616,78.640430,0.037279,6.283098
0.020000,25.508206,155.999677,6.516089,31.454441,78.641217,0.039349,6.283089
0.020000,26.168752,155.999610,7.176635,33.027282,78.642046,0.041421,6.283081
0.020000,26.860755,155.999535,7.868637,34.600140,78.642916,0.043492,6.283072
0.020000,27.584215,155.999449,8.592098,36.173017,78.643827,0.045562,6.283063
0.020000,28.339133,155.999353,9.347016,37.745912,78.644780,0.047634,6.283054
0.020000,29.125510,155.999246,10.133393,39.318828,78.645774,0.049704,6.283044
0.020000,29.943345,155.999127,10.951228,40.891764,78.646809,0.051777,6.283035
0.020000,30.792639,155.998995,11.800522,42.464721,78.647886,0.053847,6.283026
0.020000,31.673393,155.998851,12.681276,44.037702,78.649004,0.055918,6.283016
0.020000,32.585608,155.998692,13.593490,45.610705,78.650164,0.057989,6.283007
0.020000,33.529282,155.998520,14.537165,47.183732,78.651365,0.060060,6.282998
0.020000,34.504418,155.998332,15.512301,48.756784,78.652608,0.062131,6.282989
0.020000,35.511015,155.998130,16.518898,50.329862,78.653892,0.064202,6.282980
0.020000,36.549074,155.997912,17.556957,51.902967,78.655218,0.066273,6.282971
0.020000,37.618596,155.997679,18.626479,53.476098,78.656584,0.068344,6.282963
0.020000,38.719581,155.997429,19.727464,55.049258,78.657993,0.070416,6.282955
0.020000,39.852030,155.997164,20.859913,56.622447,78.659443,0.072486,6.282947
0.020000,41.015944,155.996882,22.023827,58.195666,78.660934,0.074558,6.282940
0.020000,42.211322,155.996584,23.219205,59.768915,78.662466,0.076628,6.282933
0.020000,43.438166,155.996271,24.446049,61.342196,78.664040,0.078699,6.282926
0.020000,44.696476,155.995941,25.704359,62.915509,78.665656,0.080771,6.282921
0.020000,45.986253,155.995596,26.994136,64.488855,78.667312,0.082842,6.282915
0.020000,47.307498,155.995237,28.315381,66.062235,78.669011,0.084912,6.282911
0.020000,48.660211,155.994863,29.668094,67.635650,78.670750,0.086984,6.282907
0.020000,50.044393,155.994475,31.052276,69.209101,78.672531,0.089055,6.282904
0.020000,51.460044,155.994076,32.467928,70.782588,78.674354,0.091126,6.282902
0.020000,52.907166,155.993665,33.915050,72.356112,78.676218,0.093197,6.282901
0.020000,54.385760,155.993244,35.393643,73.929675,78.678123,0.095268,6.282901
0.020000,55.895825,155.992814,36.903709,75.503276,78.680070,0.097339,6.282901
0.020000,57.437364,155.992378,38.445247,77.076917,78.682058,0.099410,6.282903
0.020000,59.010376,155.991936,40.018259,78.650599,78.684088,0.101481,6.282906
0.020000,60.614862,155.991492,41.622746,80.224322,78.686159,0.103552,6.282911
0.020000,62.250824,155.991047,43.258708,81.798088,78.688271,0.105623,6.282916
0.020000,63.918261,155.990604,44.926145,83.371896,78.690425,0.107694,6.282923
0.020000,65.617176,155.990166,46.625060,84.945749,78.692621,0.109765,6.282932
0.020000,67.347569,155.989736,48.355453,86.519646,78.694857,0.111837,6.282942
0.020000,69.109441,155.989318,50.117325,88.093589,78.697135,0.113907,6.282954
0.020000,70.894927,155.988915,51.902811,89.274297,59.035415,-983.086042,6.282967
0.020000,72.685255,155.988537,53.693139,89.516419,12.106098,-2346.465822,6.282982
